C_REGION,ESTACION,PROGRAMA,CRUCERO,F_MUESTREO,AÑO,MES,DIRECCION,V_MS
10,L21N1,1,CRUCERO 2,,2006,,,
10,L22,1,CRUCERO 2,2006/06/28,2006,JUNIO,NO,
10,L23,1,CRUCERO 2,2006/06/28,2006,JUNIO,NO,
10,L24,1,CRUCERO 2,2006/06/28,2006,JUNIO,NO,
10,L25,1,CRUCERO 2,,2006,,,
11,A01,1,CRUCERO 2,2006/07/05,2006,JULIO,NO,
11,A02,1,CRUCERO 2,2006/07/05,2006,JULIO,,
11,A04,1,CRUCERO 2,2006/07/06,2006,JULIO,,
11,A05,1,CRUCERO 2,2006/07/06,2006,JULIO,N,
11,A06,1,CRUCERO 2,2006/07/04,2006,JULIO,S,
11,A07,1,CRUCERO 2,2006/07/04,2006,JULIO,SO,
11,A08,1,CRUCERO 2,2006/07/04,2006,JULIO,SO,
11,A09,1,CRUCERO 2,2006/07/03,2006,JULIO,SO,
11,A10,1,CRUCERO 2,2006/07/04,2006,JULIO,SO,
11,A11,1,CRUCERO 2,2006/07/04,2006,JULIO,SO,
11,A12,1,CRUCERO 2,2006/07/02,2006,JULIO,N,
11,A13,1,CRUCERO 2,2006/07/01,2006,JULIO,N,
11,A14,1,CRUCERO 2,2006/07/01,2006,JULIO,N,
11,A15,1,CRUCERO 2,2006/07/01,2006,JULIO,N,
11,A16,1,CRUCERO 2,2006/07/01,2006,JULIO,NO,
11,A17,1,CRUCERO 2,2006/07/01,2006,JULIO,NO,
11,A18,1,CRUCERO 2,2006/07/18,2006,JULIO,NO,
11,A19,1,CRUCERO 2,2006/06/30,2006,JUNIO,SO,
11,A20,1,CRUCERO 2,2006/06/30,2006,JUNIO,NO,
11,A21,1,CRUCERO 2,2006/06/30,2006,JUNIO,NO,
11,A22,1,CRUCERO 2,2006/06/30,2006,JUNIO,NO,
11,A23,1,CRUCERO 2,2006/06/29,2006,JUNIO,N,
11,A24,1,CRUCERO 2,,2006,,NO,
11,A25,1,CRUCERO 2,,2006,,,
11,A26,1,CRUCERO 2,2006/07/10,2006,JULIO,,
11,A27,1,CRUCERO 2,2006/07/11,2006,JULIO,NO,
11,A28,1,CRUCERO 2,2006/07/11,2006,JULIO,NO,
11,A29,1,CRUCERO 2,2006/07/11,2006,JULIO,NO,
11,A30,1,CRUCERO 2,2006/06/29,2006,JUNIO,SO,
11,A31,1,CRUCERO 2,2006/06/29,2006,JUNIO,N,
11,A32,1,CRUCERO 2,2006/06/29,2006,JUNIO,NO,
11,A33,1,CRUCERO 2,2006/07/07,2006,JULIO,NO,
11,A34,1,CRUCERO 2,2006/07/07,2006,JULIO,N,
11,A35,1,CRUCERO 2,2006/07/08,2006,JULIO,N,
11,A36,1,CRUCERO 2,2006/07/08,2006,JULIO,SO,
11,A37,1,CRUCERO 2,2006/07/09,2006,JULIO,SO,
11,A38,1,CRUCERO 2,2006/07/09,2006,JULIO,SO,
11,A39,1,CRUCERO 2,2006/07/10,2006,JULIO,SO,
11,A40,1,CRUCERO 2,2006/07/08,2006,JULIO,SO,
11,A41,1,CRUCERO 2,2006/07/09,2006,JULIO,SO,
11,A42,1,CRUCERO 2,,2006,,SO,
11,A43,1,CRUCERO 2,,2006,,,
11,A44,1,CRUCERO 2,,2006,,,
11,A45,1,CRUCERO 2,,2006,,,
11,A46,1,CRUCERO 2,2006/07/09,2006,JULIO,,
11,A47,1,CRUCERO 2,,2006,,,
11,A48,1,CRUCERO 2,,2006,,,
11,A49,1,CRUCERO 2,,2006,,,
11,A50,1,CRUCERO 2,2006/07/11,2006,JULIO,,
11,A51,1,CRUCERO 2,2006/07/10,2006,JULIO,O,
